Channel 	Counts	 
-90 	18 	
-70 	28 	
-50 	54 	
-30 	109 	
-10 	164 	
10 	232 	
30 	403 	
50 	648 	
70 	873 	
90 	1234 	
110 	1557 	
130 	2090 	
150 	2545 	
170 	2916 	
190 	3559 	
210 	3995 	
230 	4639 	
250 	5015 	
270 	5397 	
290 	5869 	
310 	6158 	
330 	6566 	
350 	6972 	
370 	7232 	
390 	7499 	
410 	7735 	
430 	7860 	
450 	7937 	
470 	8033 	
490 	8039 	
510 	8151 	
530 	8174 	
550 	8245 	
570 	8261 	
590 	8080 	
610 	8165 	
630 	8093 	
650 	8173 	
670 	8271 	
690 	8530 	
710 	8438 	
730 	8568 	
750 	8539 	
770 	8833 	
790 	8836 	
810 	8819 	
830 	8773 	
850 	8740 	
870 	8849 	
890 	8554 	
910 	8440 	
930 	8550 	
950 	8176 	
970 	8043 	
990 	7948 	
1010 	7790 	
1030 	7634 	
1050 	7324 	
1070 	7096 	
1090 	6847 	
1110 	6648 	
1130 	6546 	
1150 	6265 	
1170 	6015 	
1190 	5799 	
1210 	5566 	
1230 	5382 	
1250 	5177 	
1270 	5059 	
1290 	4849 	
1310 	4683 	
1330 	4445 	
1350 	4461 	
1370 	4282 	
1390 	4157 	
1410 	4034 	
1430 	3853 	
1450 	3818 	
1470 	3739 	
1490 	3614 	
1510 	3473 	
1530 	3367 	
1550 	3296 	
1570 	3153 	
1590 	3222 	
1610 	3028 	
1630 	3073 	
1650 	3028 	
1670 	2933 	
1690 	2812 	
1710 	2899 	
1730 	2849 	
1750 	2746 	
1770 	2860 	
1790 	2861 	
1810 	2914 	
1830 	2911 	
1850 	2919 	
1870 	2974 	
1890 	2969 	
1910 	3044 	
1930 	3059 	
1950 	3189 	
1970 	3118 	
1990 	3208 	
2010 	3389 	
2030 	3484 	
2050 	3563 	
2070 	3667 	
2090 	3977 	
2110 	4124 	
2130 	4416 	
2150 	4648 	
2170 	4962 	
2190 	5583 	
2210 	5910 	
2230 	6121 	
2250 	6493 	
2270 	6784 	
2290 	7064 	
2310 	7070 	
2330 	6921 	
2350 	6787 	
2370 	6536 	
2390 	6119 	
2410 	5831 	
2430 	5196 	
2450 	4644 	
2470 	4222 	
2490 	3549 	
2510 	3080 	
2530 	2655 	
2550 	2318 	
2570 	1788 	
2590 	1578 	
2610 	1311 	
2630 	1032 	
2650 	891 	
2670 	761 	
2690 	656 	
2710 	572 	
2730 	561 	
2750 	553 	
2770 	484 	
2790 	459 	
2810 	456 	
2830 	465 	
2850 	436 	
2870 	409 	
2890 	459 	
2910 	404 	
2930 	420 	
2950 	437 	
2970 	444 	
2990 	378 	
3010 	420 	
3030 	419 	
3050 	432 	
3070 	427 	
3090 	412 	
3110 	412 	
3130 	375 	
3150 	415 	
3170 	376 	
3190 	406 	
3210 	424 	
3230 	428 	
3250 	420 	
3270 	420 	
3290 	405 	
3310 	386 	
3330 	391 	
3350 	398 	
3370 	410 	
3390 	405 	
3410 	359 	
3430 	404 	
3450 	381 	
3470 	395 	
3490 	396 	
3510 	388 	
3530 	392 	
3550 	375 	
3570 	385 	
3590 	356 	
3610 	358 	
3630 	353 	
3650 	372 	
3670 	392 	
3690 	375 	
3710 	392 	
3730 	386 	
3750 	373 	
3770 	361 	
3790 	378 	
3810 	340 	
3830 	359 	
3850 	399 	
3870 	365 	
3890 	387 	
3910 	374 	
3930 	373 	
3950 	362 	
3970 	353 	
3990 	352 	
4010 	371 	
4030 	377 	
4050 	390 	
4070 	383 	
4090 	384 	
4110 	379 	
4130 	344 	
4150 	374 	
4170 	355 	
4190 	357 	
4210 	378 	
4230 	388 	
4250 	349 	
4270 	365 	
4290 	371 	
4310 	349 	
4330 	338 	
4350 	339 	
4370 	316 	
4390 	314 	
4410 	345 	
4430 	322 	
4450 	347 	
4470 	341 	
4490 	351 	
4510 	346 	
4530 	328 	
4550 	298 	
4570 	296 	
4590 	297 	
4610 	312 	
4630 	294 	
4650 	294 	
4670 	259 	
4690 	263 	
4710 	250 	
4730 	215 	
4750 	244 	
4770 	222 	
4790 	221 	
4810 	208 	
4830 	203 	
4850 	228 	
4870 	162 	
4890 	185 	
4910 	178 	
4930 	161 	
4950 	162 	
4970 	192 	
4990 	189 	
5010 	194 	
5030 	167 	
5050 	173 	
5070 	202 	
5090 	220 	
5110 	211 	
5130 	275 	
5150 	249 	
5170 	282 	
5190 	311 	
5210 	315 	
5230 	332 	
5250 	371 	
5270 	425 	
5290 	421 	
5310 	456 	
5330 	503 	
5350 	521 	
5370 	482 	
5390 	534 	
5410 	590 	
5430 	572 	
5450 	588 	
5470 	639 	
5490 	613 	
5510 	669 	
5530 	668 	
5550 	681 	
5570 	635 	
5590 	644 	
5610 	603 	
5630 	642 	
5650 	610 	
5670 	579 	
5690 	588 	
5710 	521 	
5730 	520 	
5750 	446 	
5770 	441 	
5790 	463 	
5810 	381 	
5830 	394 	
5850 	349 	
5870 	283 	
5890 	283 	
5910 	202 	
5930 	175 	
5950 	182 	
5970 	165 	
5990 	132 	
6010 	93 	
6030 	89 	
6050 	62 	
6070 	65 	
6090 	47 	
6110 	43 	
6130 	28 	
6150 	29 	
6170 	29 	
6190 	10 	
6210 	21 	
6230 	17 	
6250 	13 	
6270 	19 	
6290 	7 	
6310 	8 	
6330 	2 	
6350 	8 	
6370 	4 	
6390 	9 	
6410 	2 	
6430 	7 	
6450 	2 	
6470 	5 	
6490 	5 	
6510 	4 	
6530 	8 	
6550 	3 	
6570 	3 	
6590 	6 	
6610 	4 	
6630 	3 	
6650 	3 	
6670 	3 	
