Time,AverageVoltage,error,
-9.7e-08,0.0006618181818181819,0.0001521721513167361,
-9.6e-08,0.0008,7.999999999999999e-05,
-9.5e-08,0.0008581818181818183,0.00011365018097813848,
-9.4e-08,0.0009236363636363637,0.0001257992628971034,
-9.3e-08,0.0010254545454545455,0.00016323992381544631,
-9.2e-08,0.0011200000000000001,0.00022054478003344358,
-9.1e-08,0.0011927272727272726,0.00016953412099579893,
-9e-08,0.0013381818181818182,0.0001521721513167362,
-8.9e-08,0.001432727272727273,0.00024904180006942247,
-8.8e-08,0.001549090909090909,0.0002561817536615184,
-8.7e-08,0.0016581818181818184,0.00022933897103711703,
-8.6e-08,0.0017309090909090907,0.0002635698975776461,
-8.5e-08,0.0018690909090909092,0.00031245654243284914,
-8.4e-08,0.0019563636363636363,0.0003126426946938861,
-8.3e-08,0.0021090909090909094,0.0003705524131740217,
-8.2e-08,0.002196363636363637,0.00044737618906850037,
-8.1e-08,0.0022400000000000002,0.0004511319097558939,
-8e-08,0.002356363636363636,0.00040849168234549725,
-7.9e-08,0.0024072727272727275,0.00043444426360790886,
-7.8e-08,0.002545454545454545,0.0005219265012693575,
-7.7e-08,0.0026690909090909087,0.0005297821164489142,
-7.6e-08,0.00272,0.0004905507109361886,
-7.5e-08,0.0028436363636363637,0.0005604154303241967,
-7.4e-08,0.00296,0.0004853040284192993,
-7.3e-08,0.0030036363636363637,0.0005806078319704744,
-7.2e-08,0.003098181818181819,0.0006340633750946066,
-7.1e-08,0.003134545454545454,0.0005984707785074162,
-7e-08,0.0032509090909090908,0.0005870852501205347,
-6.9e-08,0.0033018181818181822,0.0005955471128604048,
-6.8e-08,0.00344,0.0005911345024611573,
-6.7e-08,0.003469090909090909,0.0005738545903877487,
-6.6e-08,0.0035345454545454543,0.0006438068598013482,
-6.5e-08,0.0036945454545454547,0.0006266795614405122,
-6.4e-08,0.0037163636363636357,0.0006221136990498235,
-6.3e-08,0.003781818181818182,0.0006713243356503349,
-6.2e-08,0.003854545454545455,0.0006786510684639586,
-6.1e-08,0.0038472727272727283,0.000711464558626653,
-6e-08,0.003956363636363636,0.0007265159699176986,
-5.9e-08,0.003963636363636364,0.0007256345185735409,
-5.8e-08,0.004021818181818182,0.0007590232958456306,
-5.7e-08,0.004101818181818181,0.0006770202091786947,
-5.6e-08,0.004145454545454545,0.0007663467053020275,
-5.5e-08,0.004152727272727272,0.0007078572018294496,
-5.4e-08,0.004218181818181818,0.0007615486613712635,
-5.3e-08,0.004261818181818182,0.0006891997995040072,
-5.2e-08,0.00432,0.0007418894796396563,
-5.1e-08,0.004290909090909092,0.0007040661125981642,
-5e-08,0.004421818181818182,0.0006420875046567748,
-4.9e-08,0.004370909090909091,0.0007325770204620746,
-4.8e-08,0.004414545454545455,0.0007090890442865923,
-4.7e-08,0.00448,0.0007706620530427069,
-4.6e-08,0.004509090909090909,0.0007700578490666082,
-4.5e-08,0.004538181818181818,0.0007992723963933471,
-4.4e-08,0.004516363636363636,0.0007651310048256146,
-4.3e-08,0.004647272727272728,0.0007743525154487575,
-4.2e-08,0.004596363636363637,0.0007882039422290748,
-4.1e-08,0.004647272727272728,0.0008099023510163545,
-4e-08,0.0046472727272727265,0.0008083203685308309,
-3.9e-08,0.00469090909090909,0.0007742022286903411,
-3.8e-08,0.004785454545454545,0.000735667909268355,
-3.7e-08,0.004792727272727272,0.0007292337198606618,
-3.6e-08,0.004850909090909091,0.000735193233720966,
-3.5e-08,0.004829090909090909,0.0007360632383899437,
-3.4e-08,0.0049236363636363635,0.0007149723453011693,
-3.3e-08,0.00496,0.0006702835221009092,
-3.2e-08,0.0050472727272727275,0.0006263080856749482,
-3.1e-08,0.005112727272727272,0.0005570833135015071,
-3e-08,0.00512,0.0006419968847276442,
-2.9e-08,0.005178181818181818,0.0005792032144561731,
-2.8e-08,0.005221818181818181,0.0005331757342906404,
-2.7e-08,0.0052945454545454546,0.0005255923065716171,
-2.6e-08,0.005323636363636363,0.0005406528040669487,
-2.5e-08,0.005338181818181819,0.000509859160588847,
-2.4e-08,0.005338181818181819,0.0005136111015509338,
-2.3e-08,0.005476363636363635,0.0004751267773399585,
-2.2e-08,0.005527272727272727,0.0004670993664969137,
-2.1e-08,0.005527272727272727,0.00047927217547216126,
-2e-08,0.005570909090909091,0.00045009897901360647,
-1.9e-08,0.005629090909090908,0.000395612298733357,
-1.8e-08,0.005621818181818183,0.00047475926914212384,
-1.7e-08,0.005679999999999999,0.00039839678713563957
