Time,Voltage,error
5.1e-07,0.010981818181818183,0.0008412112479254921
5.12e-07,0.010854545454545455,0.0007698878312632775
5.14e-07,0.010981818181818183,0.0007507571935295482
5.16e-07,0.010745454545454546,0.0007047888142750795
5.18e-07,0.010909090909090908,0.0007231245334719953
5.2e-07,0.010945454545454545,0.000988295134424567
5.22e-07,0.010745454545454546,0.0010624157720625538
5.24e-07,0.0106,0.001099090533122727
5.26e-07,0.010545454545454545,0.0010736513739232458
5.28e-07,0.010818181818181819,0.0007871698442117581
5.3e-07,0.010672727272727275,0.0009392453450413362
5.32e-07,0.01069090909090909,0.0010894535744624878
5.34e-07,0.01058181818181818,0.0010897873020164824
5.36e-07,0.0104,0.0008579044235810889
5.38e-07,0.01041818181818182,0.0009097452190785967
5.4e-07,0.010672727272727271,0.0009561285573508501
5.42e-07,0.010636363636363637,0.0009542250544528032
5.44e-07,0.010636363636363637,0.0009625723113332599
5.46e-07,0.010745454545454546,0.0009427233277729331
5.48e-07,0.011,0.00103150375665821
5.5e-07,0.01081818181818182,0.0011258935845080403
5.52e-07,0.010636363636363638,0.0009373075560057408
5.54e-07,0.010763636363636362,0.0006859631583003966
5.56e-07,0.010690909090909091,0.0007502726777039735
5.58e-07,0.0106,0.000651152823843988
5.6e-07,0.010945454545454545,0.0008442317648177382
5.62e-07,0.011036363636363636,0.000747358986395062
5.64e-07,0.010927272727272728,0.0009434944717282761
5.66e-07,0.010818181818181817,0.001227858446090739
5.68e-07,0.010818181818181819,0.0012375929717141916
5.7e-07,0.01069090909090909,0.0011571123933780555
5.72e-07,0.010727272727272726,0.0008210857556807439
5.74e-07,0.010654545454545456,0.0006266795614405122
5.76e-07,0.010581818181818182,0.0008364426840115008
5.78e-07,0.010436363636363636,0.0008617107719794704
5.8e-07,0.010545454545454545,0.0009212639538847008
5.82e-07,0.010454545454545454,0.0009081449623971235
5.84e-07,0.010345454545454545,0.0009678467196448375
5.86e-07,0.010563636363636362,0.0013908793817385655
5.88e-07,0.010363636363636363,0.001364751059550955
5.9e-07,0.010290909090909088,0.0012628971022649038
5.92e-07,0.010254545454545455,0.0012069495733986874
5.94e-07,0.010272727272727272,0.0011942285452047356
5.96e-07,0.01049090909090909,0.0011076592846670362
5.98e-07,0.010327272727272725,0.0010668560437949528
6e-07,0.010381818181818181,0.0010371289040598396
6.02e-07,0.010272727272727274,0.0011773622289600674
6.04e-07,0.01030909090909091,0.0012565464937315655
6.06e-07,0.010327272727272727,0.0010130063268222061
6.08e-07,0.010145454545454546,0.001024073860972573
6.1e-07,0.010127272727272728,0.0013602138869243388
6.12e-07,0.010072727272727273,0.0010286796479865915
6.14e-07,0.010127272727272728,0.0008259429872465885
6.16e-07,0.010036363636363635,0.0007839294959021858
6.18e-07,0.010145454545454544,0.0008250619811427942
6.2e-07,0.01,0.0009380831519646858
6.22e-07,0.010199999999999999,0.0006633249580710801
6.24e-07,0.01029090909090909,0.0006891364820622189
6.26e-07,0.010236363636363637,0.0010763574938399672
6.28e-07,0.010145454545454546,0.0012902431060568674
6.3e-07,0.009945454545454544,0.001403113421191342
6.32e-07,0.010072727272727273,0.0012498727207927286
6.34e-07,0.010036363636363637,0.000991234308599866
6.36e-07,0.010036363636363637,0.0011164880001797845
6.38e-07,0.010072727272727273,0.0010130063268222063
6.4e-07,0.010036363636363637,0.0007579877667518485
6.42e-07,0.010163636363636363,0.0009952615005843712
6.44e-07,0.010181818181818183,0.0010293864015210048
6.46e-07,0.009981818181818182,0.0010637839835400623
6.48e-07,0.009945454545454544,0.0008153080845467394
6.5e-07,0.010054545454545453,0.0007541400882642911
6.52e-07,0.01,0.000959166304662544
6.54e-07,0.009927272727272727,0.0010555481126797671
6.56e-07,0.009781818181818181,0.0011043714790034934
6.58e-07,0.009727272727272727,0.0014346364759693722
6.6e-07,0.009818181818181816,0.0012631850076834999
6.62e-07,0.0098,0.0009507891459203772
6.64e-07,0.009690909090909092,0.0011220111812763236
6.66e-07,0.009763636363636365,0.0013078782261913588
6.68e-07,0.009781818181818181,0.0011258935845080403
6.7e-07,0.009672727272727272,0.001170547657373171
6.72e-07,0.009672727272727274,0.0014457461112456153
6.74e-07,0.009618181818181819,0.0015164551967125058
6.76e-07,0.009654545454545454,0.0013239060664289113
6.78e-07,0.009745454545454545,0.0013208812485334452
6.8e-07,0.00969090909090909,0.0012469599395766853
6.82e-07,0.009545454545454544,0.001092120539467724
6.84e-07,0.009363636363636364,0.0011621297064206967
6.86e-07,0.009436363636363637,0.0011271847472998624
6.88e-07,0.009600000000000001,0.0011627553482998908
6.9e-07,0.009563636363636363,0.0012027241805773487
6.92e-07,0.009527272727272726,0.0011037127426019044
6.94e-07,0.009345454545454546,0.0011868981728553095
6.96e-07,0.009363636363636364,0.0010984286297003798
6.98e-07,0.009454545454545453,0.001145743109395502
7e-07,0.009418181818181819,0.0011677484162422845
