Channel 	Counts	 
-90 	2 	
-70 	4 	
-50 	11 	
-30 	14 	
-10 	28 	
10 	44 	
30 	47 	
50 	84 	
70 	109 	
90 	187 	
110 	194 	
130 	258 	
150 	324 	
170 	362 	
190 	450 	
210 	474 	
230 	510 	
250 	522 	
270 	564 	
290 	624 	
310 	645 	
330 	702 	
350 	732 	
370 	783 	
390 	784 	
410 	813 	
430 	779 	
450 	805 	
470 	820 	
490 	843 	
510 	844 	
530 	857 	
550 	870 	
570 	899 	
590 	864 	
610 	879 	
630 	879 	
650 	873 	
670 	925 	
690 	958 	
710 	996 	
730 	995 	
750 	1051 	
770 	1071 	
790 	1010 	
810 	1058 	
830 	1058 	
850 	1101 	
870 	1081 	
890 	1061 	
910 	1054 	
930 	1029 	
950 	1004 	
970 	984 	
990 	981 	
1010 	956 	
1030 	955 	
1050 	835 	
1070 	900 	
1090 	828 	
1110 	785 	
1130 	734 	
1150 	732 	
1170 	711 	
1190 	661 	
1210 	623 	
1230 	578 	
1250 	553 	
1270 	581 	
1290 	492 	
1310 	457 	
1330 	451 	
1350 	457 	
1370 	392 	
1390 	419 	
1410 	388 	
1430 	347 	
1450 	319 	
1470 	365 	
1490 	277 	
1510 	278 	
1530 	249 	
1550 	251 	
1570 	217 	
1590 	199 	
1610 	200 	
1630 	188 	
1650 	194 	
1670 	233 	
1690 	196 	
1710 	209 	
1730 	185 	
1750 	197 	
1770 	216 	
1790 	222 	
1810 	243 	
1830 	209 	
1850 	253 	
1870 	292 	
1890 	277 	
1910 	289 	
1930 	307 	
1950 	365 	
1970 	417 	
1990 	455 	
2010 	488 	
2030 	548 	
2050 	619 	
2070 	614 	
2090 	731 	
2110 	766 	
2130 	949 	
2150 	984 	
2170 	1115 	
2190 	1148 	
2210 	1245 	
2230 	1248 	
2250 	1256 	
2270 	1305 	
2290 	1317 	
2310 	1192 	
2330 	1108 	
2350 	1044 	
2370 	1005 	
2390 	912 	
2410 	787 	
2430 	675 	
2450 	526 	
2470 	472 	
2490 	368 	
2510 	320 	
2530 	251 	
2550 	190 	
2570 	139 	
2590 	134 	
2610 	95 	
2630 	91 	
2650 	75 	
2670 	70 	
2690 	59 	
2710 	44 	
2730 	56 	
2750 	61 	
2770 	45 	
2790 	59 	
2810 	52 	
2830 	46 	
2850 	53 	
2870 	51 	
2890 	59 	
2910 	57 	
2930 	41 	
2950 	44 	
2970 	42 	
2990 	40 	
3010 	49 	
3030 	49 	
3050 	47 	
3070 	43 	
3090 	48 	
3110 	39 	
3130 	61 	
3150 	38 	
3170 	43 	
3190 	43 	
3210 	52 	
3230 	50 	
3250 	38 	
3270 	42 	
3290 	39 	
3310 	38 	
3330 	46 	
3350 	46 	
3370 	35 	
3390 	41 	
3410 	38 	
3430 	50 	
3450 	45 	
3470 	40 	
3490 	40 	
3510 	52 	
3530 	45 	
3550 	35 	
3570 	52 	
3590 	38 	
3610 	49 	
3630 	47 	
3650 	39 	
3670 	42 	
3690 	36 	
3710 	44 	
3730 	55 	
3750 	54 	
3770 	49 	
3790 	48 	
3810 	61 	
3830 	43 	
3850 	53 	
3870 	50 	
3890 	51 	
3910 	55 	
3930 	41 	
3950 	44 	
3970 	48 	
3990 	49 	
4010 	58 	
4030 	39 	
4050 	46 	
4070 	58 	
4090 	47 	
4110 	49 	
4130 	47 	
4150 	44 	
4170 	49 	
4190 	50 	
4210 	51 	
4230 	39 	
4250 	49 	
4270 	44 	
4290 	38 	
4310 	38 	
4330 	48 	
4350 	44 	
4370 	61 	
4390 	42 	
4410 	45 	
4430 	37 	
4450 	33 	
4470 	44 	
4490 	45 	
4510 	34 	
4530 	42 	
4550 	39 	
4570 	34 	
4590 	34 	
4610 	28 	
4630 	36 	
4650 	38 	
4670 	31 	
4690 	28 	
4710 	36 	
4730 	19 	
4750 	29 	
4770 	26 	
4790 	21 	
4810 	27 	
4830 	30 	
4850 	26 	
4870 	24 	
4890 	26 	
4910 	27 	
4930 	21 	
4950 	34 	
4970 	31 	
4990 	35 	
5010 	29 	
5030 	30 	
5050 	31 	
5070 	30 	
5090 	38 	
5110 	37 	
5130 	47 	
5150 	51 	
5170 	60 	
5190 	66 	
5210 	56 	
5230 	58 	
5250 	84 	
5270 	87 	
5290 	95 	
5310 	114 	
5330 	90 	
5350 	96 	
5370 	100 	
5390 	110 	
5410 	115 	
5430 	107 	
5450 	107 	
5470 	110 	
5490 	89 	
5510 	110 	
5530 	97 	
5550 	110 	
5570 	102 	
5590 	95 	
5610 	88 	
5630 	67 	
5650 	69 	
5670 	84 	
5690 	61 	
5710 	62 	
5730 	66 	
5750 	52 	
5770 	51 	
5790 	39 	
5810 	27 	
5830 	25 	
5850 	20 	
5870 	24 	
5890 	19 	
5910 	11 	
5930 	9 	
5950 	7 	
5970 	11 	
5990 	5 	
6010 	8 	
6030 	5 	
6050 	3 	
6070 	2 	
6090 	2 	
6110 	2 	
6130 	1 	
6150 	1 	
6170 	0 	
6190 	0 	
6210 	0 	
6230 	0 	
6250 	0 	
6270 	2 	
6290 	1 	
6310 	0 	
6330 	0 	
6350 	4 	
6370 	1 	
6390 	1 	
6410 	0 	
6430 	2 	
6450 	0 	
6470 	0 	
6490 	0 	
6510 	0 	
6530 	1 	
6550 	0 	
6570 	1 	
6590 	0 	
6610 	2 	
6630 	1 	
6650 	0 	
6670 	0 	
6690 	0 	
6710 	0 	
6730 	0 	
6750 	0 	
6770 	1 	
6790 	0 	
6810 	0 	
6830 	0 	
6850 	1 	
6870 	2 	
6890 	0 	
6910 	0 	
6930 	0 	
6950 	1 	
6970 	0 	
6990 	0 	
7010 	2 	
7030 	0 	
7050 	1 	
7070 	0 	
7090 	0 	
7110 	1 	
7130 	0 	
7150 	0 	
7170 	1 	
7190 	0 	
7210 	0 	
7230 	0 	
7250 	1 	
7270 	0 	
7290 	0 	
7310 	1 	
7330 	1 	
7350 	0 	
7370 	0 	
7390 	0 	
7410 	1 	
7430 	0 	
7450 	0 	
7470 	0 	
7490 	0 	
7510 	1 	
7530 	1 	
7550 	0 	
7570 	0 	
7590 	1 	
7610 	0 	
7630 	0 	
7650 	0 	
7670 	0 	
7690 	0 	
7710 	1 	
7730 	0 	
7750 	0 	
7770 	0 	
7790 	0 	
7810 	1 	
7830 	0 	
7850 	0 	
7870 	0 	
7890 	0 	
7910 	0 	
7930 	0 	
7950 	0 	
7970 	0 	
7990 	0 	
8010 	0 	
8030 	0 	
8050 	0 	
8070 	0 	
8090 	0 	
8110 	0 	
8130 	0 	
8150 	0 	
8170 	0 	
8190 	0 	
8210 	0 	
8230 	1 	
8250 	0 	
8270 	0 	
8290 	0 	
8310 	0 	
8330 	0 	
8350 	0 	
8370 	0 	
8390 	0 	
8410 	0 	
8430 	0 	
8450 	0 	
8470 	0 	
8490 	0 	
8510 	0 	
8530 	0 	
8550 	0 	
8570 	0 	
8590 	0 	
8610 	0 	
8630 	0 	
8650 	0 	
8670 	0 	
8690 	0 	
8710 	0 	
8730 	0 	
8750 	0 	
8770 	0 	
8790 	1 	
8810 	0 	
8830 	0 	
8850 	0 	
8870 	0 	
8890 	0 	
8910 	0 	
8930 	1 	
8950 	0 	
8970 	1 	
8990 	0 	
9010 	0 	
9030 	0 	
9050 	0 	
9070 	0 	
9090 	0 	
9110 	0 	
9130 	0 	
9150 	0 	
9170 	0 	
9190 	0 	
9210 	0 	
9230 	0 	
9250 	0 	
9270 	0 	
9290 	0 	
9310 	0 	
9330 	0 	
9350 	0 	
9370 	0 	
9390 	0 	
9410 	0 	
9430 	0 	
9450 	0 	
9470 	0 	
9490 	0 	
9510 	0 	
9530 	0 	
9550 	1 	
9570 	0 	
9590 	0 	
9610 	0 	
9630 	0 	
9650 	0 	
9670 	0 	
9690 	0 	
9710 	0 	
9730 	0 	
9750 	0 	
9770 	0 	
9790 	0 	
9810 	0 	
9830 	0 	
9850 	0 	
9870 	0 	
9890 	0 	
9910 	0 	
9930 	0 	
9950 	0 	
9970 	0 	
9990 	0 	
10010 	0 	
10030 	0 	
10050 	0 	
