Channel 	Counts	 
-90 	6 	
-70 	17 	
-50 	33 	
-30 	59 	
-10 	104 	
10 	179 	
30 	233 	
50 	327 	
70 	460 	
90 	611 	
110 	734 	
130 	851 	
150 	1037 	
170 	1148 	
190 	1269 	
210 	1318 	
230 	1512 	
250 	1485 	
270 	1614 	
290 	1671 	
310 	1674 	
330 	1751 	
350 	1862 	
370 	1937 	
390 	1893 	
410 	1963 	
430 	1958 	
450 	1928 	
470 	1948 	
490 	1957 	
510 	1920 	
530 	1989 	
550 	1967 	
570 	1975 	
590 	2032 	
610 	2152 	
630 	2215 	
650 	2366 	
670 	2399 	
690 	2482 	
710 	2680 	
730 	2681 	
750 	2803 	
770 	2846 	
790 	2788 	
810 	2754 	
830 	2648 	
850 	2610 	
870 	2369 	
890 	2390 	
910 	2274 	
930 	2136 	
950 	2077 	
970 	1992 	
990 	1956 	
1010 	1852 	
1030 	1779 	
1050 	1722 	
1070 	1644 	
1090 	1579 	
1110 	1538 	
1130 	1547 	
1150 	1504 	
1170 	1389 	
1190 	1406 	
1210 	1358 	
1230 	1358 	
1250 	1306 	
1270 	1328 	
1290 	1262 	
1310 	1166 	
1330 	1163 	
1350 	1125 	
1370 	1110 	
1390 	1032 	
1410 	1033 	
1430 	980 	
1450 	889 	
1470 	837 	
1490 	767 	
1510 	801 	
1530 	713 	
1550 	641 	
1570 	634 	
1590 	631 	
1610 	607 	
1630 	599 	
1650 	646 	
1670 	726 	
1690 	749 	
1710 	792 	
1730 	921 	
1750 	991 	
1770 	1115 	
1790 	1220 	
1810 	1332 	
1830 	1428 	
1850 	1580 	
1870 	1660 	
1890 	1791 	
1910 	2080 	
1930 	2156 	
1950 	2503 	
1970 	2772 	
1990 	3115 	
2010 	3553 	
2030 	3930 	
2050 	4402 	
2070 	4992 	
2090 	5478 	
2110 	5857 	
2130 	5972 	
2150 	6462 	
2170 	6652 	
2190 	6639 	
2210 	6426 	
2230 	6165 	
2250 	5778 	
2270 	5209 	
2290 	4675 	
2310 	3990 	
2330 	3492 	
2350 	2851 	
2370 	2408 	
2390 	1988 	
2410 	1484 	
2430 	1270 	
2450 	938 	
2470 	775 	
2490 	606 	
2510 	483 	
2530 	363 	
2550 	334 	
2570 	254 	
2590 	264 	
2610 	243 	
2630 	223 	
2650 	226 	
2670 	213 	
2690 	220 	
2710 	223 	
2730 	222 	
2750 	195 	
2770 	218 	
2790 	201 	
2810 	205 	
2830 	241 	
2850 	199 	
2870 	212 	
2890 	205 	
2910 	213 	
2930 	222 	
2950 	224 	
2970 	216 	
2990 	234 	
3010 	197 	
3030 	227 	
3050 	228 	
3070 	227 	
3090 	220 	
3110 	223 	
3130 	201 	
3150 	212 	
3170 	216 	
3190 	215 	
3210 	212 	
3230 	241 	
3250 	222 	
3270 	236 	
3290 	196 	
3310 	208 	
3330 	214 	
3350 	202 	
3370 	194 	
3390 	210 	
3410 	194 	
3430 	225 	
3450 	174 	
3470 	198 	
3490 	197 	
3510 	203 	
3530 	240 	
3550 	216 	
3570 	193 	
3590 	224 	
3610 	215 	
3630 	218 	
3650 	215 	
3670 	240 	
3690 	246 	
3710 	217 	
3730 	225 	
3750 	231 	
3770 	219 	
3790 	216 	
3810 	230 	
3830 	224 	
3850 	245 	
3870 	230 	
3890 	216 	
3910 	243 	
3930 	232 	
3950 	205 	
3970 	235 	
3990 	238 	
4010 	254 	
4030 	212 	
4050 	230 	
4070 	250 	
4090 	233 	
4110 	217 	
4130 	227 	
4150 	214 	
4170 	228 	
4190 	221 	
4210 	222 	
4230 	218 	
4250 	218 	
4270 	226 	
4290 	197 	
4310 	212 	
4330 	205 	
4350 	187 	
4370 	206 	
4390 	203 	
4410 	183 	
4430 	179 	
4450 	159 	
4470 	172 	
4490 	157 	
4510 	138 	
4530 	147 	
4550 	140 	
4570 	157 	
4590 	128 	
4610 	119 	
4630 	127 	
4650 	126 	
4670 	111 	
4690 	112 	
