Channel 	Counts	 
-90 	13 	
-70 	49 	
-50 	86 	
-30 	148 	
-10 	253 	
10 	390 	
30 	608 	
50 	890 	
70 	1254 	
90 	1623 	
110 	1998 	
130 	2252 	
150 	2712 	
170 	3020 	
190 	3326 	
210 	3766 	
230 	3698 	
250 	4021 	
270 	4021 	
290 	4090 	
310 	4305 	
330 	4377 	
350 	4465 	
370 	4399 	
390 	4623 	
410 	4546 	
430 	4624 	
450 	4480 	
470 	4570 	
490 	4463 	
510 	4513 	
530 	4431 	
550 	4304 	
570 	4422 	
590 	4577 	
610 	4641 	
630 	4851 	
650 	4892 	
670 	5113 	
690 	5307 	
710 	5414 	
730 	5446 	
750 	5526 	
770 	5540 	
790 	5457 	
810 	5475 	
830 	5247 	
850 	5252 	
870 	5122 	
890 	4969 	
910 	4830 	
930 	4721 	
950 	4360 	
970 	4392 	
990 	4212 	
1010 	4058 	
1030 	4004 	
1050 	3915 	
1070 	3880 	
1090 	3769 	
1110 	3705 	
1130 	3591 	
1150 	3528 	
1170 	3456 	
1190 	3433 	
1210 	3365 	
1230 	3341 	
1250 	3241 	
1270 	3094 	
1290 	3039 	
1310 	2900 	
1330 	2901 	
1350 	2917 	
1370 	2863 	
1390 	2648 	
1410 	2630 	
1430 	2429 	
1450 	2358 	
1470 	2302 	
1490 	2145 	
1510 	1979 	
1530 	1873 	
1550 	1727 	
1570 	1682 	
1590 	1641 	
1610 	1720 	
1630 	1596 	
1650 	1706 	
1670 	1872 	
1690 	2002 	
1710 	2159 	
1730 	2442 	
1750 	2610 	
1770 	2897 	
1790 	3386 	
1810 	3530 	
1830 	3899 	
1850 	4133 	
1870 	4478 	
1890 	4667 	
1910 	5254 	
1930 	5775 	
1950 	6541 	
1970 	7247 	
1990 	8162 	
2010 	9212 	
2030 	10441 	
2050 	11964 	
2070 	13063 	
2090 	14790 	
2110 	15662 	
2130 	16748 	
2150 	17394 	
2170 	17747 	
2190 	17970 	
2210 	17703 	
2230 	16546 	
2250 	15690 	
2270 	14519 	
2290 	12861 	
2310 	11117 	
2330 	9875 	
2350 	8102 	
2370 	6781 	
2390 	5474 	
2410 	4261 	
2430 	3396 	
2450 	2709 	
2470 	2111 	
2490 	1606 	
2510 	1264 	
2530 	1054 	
2550 	937 	
2570 	742 	
2590 	721 	
2610 	679 	
2630 	665 	
2650 	579 	
2670 	588 	
2690 	595 	
2710 	572 	
2730 	637 	
2750 	588 	
2770 	647 	
2790 	651 	
2810 	612 	
2830 	621 	
2850 	658 	
2870 	622 	
2890 	618 	
2910 	600 	
2930 	613 	
2950 	641 	
2970 	620 	
2990 	610 	
3010 	553 	
3030 	583 	
3050 	618 	
3070 	584 	
3090 	583 	
3110 	588 	
3130 	623 	
3150 	607 	
3170 	583 	
3190 	595 	
3210 	608 	
3230 	592 	
3250 	580 	
3270 	618 	
3290 	604 	
3310 	588 	
3330 	605 	
3350 	581 	
3370 	584 	
3390 	550 	
3410 	583 	
3430 	576 	
3450 	535 	
3470 	601 	
3490 	571 	
3510 	568 	
3530 	580 	
3550 	606 	
3570 	512 	
3590 	578 	
3610 	571 	
3630 	564 	
3650 	602 	
3670 	588 	
3690 	631 	
3710 	577 	
3730 	592 	
3750 	585 	
3770 	626 	
3790 	550 	
3810 	569 	
3830 	627 	
3850 	598 	
3870 	617 	
3890 	620 	
3910 	611 	
3930 	635 	
3950 	607 	
3970 	617 	
3990 	579 	
4010 	609 	
4030 	608 	
4050 	618 	
4070 	616 	
4090 	623 	
4110 	599 	
4130 	563 	
4150 	633 	
4170 	645 	
4190 	586 	
4210 	587 	
4230 	616 	
4250 	540 	
4270 	611 	
4290 	546 	
4310 	562 	
4330 	589 	
4350 	535 	
4370 	558 	
4390 	513 	
4410 	499 	
4430 	495 	
4450 	479 	
4470 	470 	
4490 	453 	
4510 	432 	
4530 	420 	
4550 	385 	
4570 	397 	
4590 	374 	
4610 	371 	
4630 	331 	
4650 	310 	
4670 	317 	
4690 	345 	
4710 	293 	
4730 	323 	
4750 	292 	
4770 	358 	
4790 	300 	
4810 	337 	
4830 	360 	
4850 	408 	
4870 	422 	
4890 	414 	
4910 	453 	
4930 	512 	
4950 	585 	
4970 	589 	
4990 	644 	
5010 	656 	
5030 	766 	
5050 	807 	
5070 	844 	
5090 	940 	
5110 	952 	
5130 	989 	
5150 	1152 	
5170 	1129 	
5190 	1210 	
5210 	1218 	
5230 	1254 	
5250 	1316 	
5270 	1279 	
5290 	1325 	
5310 	1271 	
5330 	1271 	
5350 	1342 	
5370 	1197 	
5390 	1217 	
5410 	1164 	
5430 	1090 	
5450 	933 	
5470 	931 	
5490 	816 	
5510 	751 	
5530 	673 	
5550 	628 	
5570 	594 	
5590 	468 	
5610 	386 	
5630 	380 	
5650 	315 	
5670 	270 	
5690 	256 	
5710 	202 	
5730 	168 	
5750 	151 	
5770 	154 	
5790 	151 	
5810 	109 	
5830 	142 	
5850 	123 	
5870 	116 	
5890 	101 	
5910 	97 	
5930 	124 	
5950 	94 	
5970 	73 	
5990 	97 	
6010 	94 	
6030 	101 	
6050 	113 	
6070 	94 	
6090 	95 	
6110 	84 	
6130 	83 	
6150 	86 	
6170 	78 	
6190 	78 	
6210 	65 	
6230 	72 	
6250 	69 	
6270 	76 	
6290 	78 	
6310 	70 	
6330 	71 	
6350 	63 	
6370 	48 	
6390 	52 	
6410 	74 	
6430 	60 	
6450 	63 	
6470 	49 	
6490 	55 	
6510 	52 	
6530 	61 	
6550 	45 	
6570 	49 	
6590 	40 	
6610 	37 	
6630 	43 	
6650 	38 	
6670 	46 	
6690 	52 	
6710 	39 	
6730 	54 	
6750 	46 	
6770 	47 	
6790 	54 	
6810 	50 	
6830 	55 	
6850 	46 	
6870 	47 	
6890 	76 	
6910 	67 	
6930 	78 	
6950 	68 	
6970 	77 	
6990 	80 	
7010 	90 	
7030 	79 	
7050 	114 	
7070 	81 	
7090 	80 	
7110 	92 	
7130 	99 	
7150 	95 	
7170 	91 	
7190 	108 	
7210 	93 	
7230 	95 	
7250 	94 	
7270 	95 	
7290 	73 	
7310 	86 	
7330 	68 	
7350 	88 	
7370 	61 	
7390 	56 	
7410 	74 	
7430 	50 	
7450 	45 	
7470 	45 	
7490 	49 	
7510 	29 	
7530 	41 	
7550 	27 	
7570 	20 	
7590 	16 	
7610 	16 	
7630 	12 	
7650 	8 	
7670 	5 	
7690 	4 	
7710 	7 	
7730 	8 	
7750 	2 	
7770 	4 	
7790 	1 	
7810 	1 	
7830 	1 	
7850 	1 	
7870 	1 	
7890 	2 	
7910 	1 	
7930 	1 	
7950 	1 	
7970 	0 	
7990 	2 	
