Channel;Counts;;; 
-90;0;;;
-70;3;;;
-50;6;;;
-30;10;;;
-10;18;;;
10;37;;;
30;53;;;
50;73;;;
70;109;;;
90;144;;;
110;147;;;
130;146;;;
150;148;;;
170;165;;;
190;161;;;
210;158;;;
230;146;;;
250;163;;;
270;170;;;
290;192;;;
310;185;;;
330;184;;;
350;205;;;
370;220;;;
390;206;;;
410;222;;;
430;227;;;
450;236;;;
470;241;;;
490;277;;;
510;272;;;
530;274;;;
550;315;;;
570;312;;;
590;299;;;
610;318;;;
630;384;;;
650;358;;;
670;382;;;
690;386;;;
710;400;;;
730;440;;;
750;481;;;
770;462;;;
790;459;;;
810;480;;;
830;517;;;
850;531;;;
870;563;;;
890;551;;;
910;606;;;
930;677;;;
950;683;;;
970;718;;;
990;780;;;
1010;846;;;
1030;813;;;
1050;905;;;
1070;918;;;
1090;1007;;;
1110;1063;;;
1130;989; ;;
1150;1118;;;
1170;1137;;;
1190;1110;;;
1210;1170;;;
1230;1128;;;
1250;1194;;;
1270;1178;;;
1290;1185;;;
1310;1173;;;
1330;1234;;;
1350;1160;;;
1370;1272;;;
1390;1245;;;
1410;1242;;;
1430;1247;;;
1450;1199;;;
1470;1263;;;
1490;1238;;;
1510;1290;;;
1530;1297;;;
1550;1249;;;
1570;1220;;;
1590;1213;;;
1610;1237;;;
1630;1244;;;
1650;1278;;;
1670;1222;;;
1690;1170;;;
1710;1196;;;
1730;1234;;;
1750;1218;;;
1770;1205;;;
1790;1312;;;
1810;1220;;;
1830;1223;;;
1850;1170;;;
1870;1214;;;
1890;1164;;;
1910;1179;;;
1930;1168;;;
1950;1122;;;
1970;1215;;;
1990;1157;;;
2010;1168;;;
2030;1162;;;
2050;1168;;;
2070;1164;;;
2090;1185;;;
2110;1109;;;
2130;1154;;;
2150;1151;;;
2170;1098;;;
2190;1168;;;
2210;1138;;;
2230;1141;;;
2250;1141;;;
2270;1175;;;
2290;1138;;;
2310;1182;;;
2330;1191;;;
2350;1102;;;
2370;1113;;;
2390;1183;;;
2410;1219;;;
2430;1134;;;
2450;1125;;;
2470;1142;;;
2490;1181;;;
2510;1199;;;
2530;1106;;;
2550;1163;;;
2570;1088;;;
2590;1104;;;
2610;1175;;;
2630;1194;;;
2650;1176;;;
2670;1097;;;
2690;1144;;;
2710;1178;;;
2730;1234;;;
2750;1195;;;
2770;1147;;;
2790;1168;;;
2810;1233;;;
2830;1285;;;
2850;1196;;;
2870;1294;;;
2890;1367;;;
2910;1280;;;
2930;1364;;;
2950;1381;;;
2970;1367;;;
2990;1380;;;
3010;1433;;;
3030;1484;;;
3050;1469;;;
3070;1554;;;
3090;1545;;;
3110;1650;;;
3130;1685;;;
3150;1648;;;
3170;1714;;;
3190;1795;;;
3210;1831;;;
3230;1852;;;
3250;1780;;;
3270;1823;;;
3290;1887;;;
3310;1953;;;
3330;2043;;;
3350;2054;;;
3370;2164;;;
3390;2129;;;
3410;2101;;;
3430;2134;;;
3450;2121;;;
3470;2229;;;
3490;2246;;;
3510;2218;;;
3530;2344;;;
3550;2358;;;
3570;2365;;;
3590;2417;;;
3610;2387;;;
3630;2502;;;
3650;2573;;;
3670;2518;;;
3690;2638;;;
3710;2619;;;
3730;2685;;;
3750;2624;;;
3770;2752;;;
3790;2693;;;
3810;2832;;;
3830;2744;;;
3850;2816;;;
3870;2902;;;
3890;2788;;;
3910;2934;;;
3930;2882;;;
3950;2873;;;
3970;2943;;;
3990;2928;;;
4010;3028;;;
4030;2982;;;
4050;2977;;;
4070;2973;;;
4090;2949;;;
4110;2982;;;
4130;2974;;;
4150;3027;;;
4170;3000;;;
4190;2997;;;
4210;2996;;;
4230;2999;;;
4250;2931;;;
4270;3047;;;
4290;3035;;;
4310;2963;;;
4330;3043;;;
4350;3035;;;
4370;3046;;;
4390;3054;;;
4410;3157;;;
4430;3069;;;
4450;2994;;;
4470;3063;;;
4490;3046;;;
4510;3060;;;
4530;3116;;;
4550;3065;;;
4570;3097;;;
4590;3062;;;
4610;3135;;;
4630;3147;;;
4650;3049;;;
4670;3055;;;
4690;3118;;;
4710;3106;;;
4730;3086;;;
4750;3033;;;
4770;3001;;;
4790;3066;;;
4810;2961;;;
4830;2925;;;
4850;2914;;;
4870;3080;;;
4890;3043;;;
4910;3016;;;
4930;2951;;;
4950;3082;;;
4970;3072;;;
4990;2941;;;
5010;3010;;;
5030;3025;;;
5050;2993;;;
5070;2918;;;
5090;3004;;;
5110;2934;;;
5130;3026;;;
