Channel	On	Off
6758 	317	0
6762 	334	0
6766 	286	0
6770 	325	0
6774 	311	0
6778 	346	0
6782 	306	0
6786 	324	0
6790 	297	0
6794 	344	0
6798 	309	0
6802 	299	0
6806 	294	0
6810 	303	0
6814 	328	0
6818 	311	0
6822 	308	0
6826 	291	0
6830 	311	0
6834 	333	0
6838 	307	0
6842 	321	0
6846 	285	0
6850 	304	0
6854 	274	0
6858 	290	0
6862 	297	0
6866 	296	0
6870 	280	0
6874 	296	0
6878 	295	0
6882 	287	0
6886 	308	0
6890 	288	0
6894 	294	0
6898 	292	0
6902 	323	0
6906 	330	0
6910 	350	0
6914 	324	0
6918 	314	0
6922 	292	0
6926 	310	0
6930 	308	0
6934 	369	0
6938 	341	0
6942 	343	0
6946 	342	0
6950 	351	0
6954 	330	0
6958 	363	0
6962 	377	0
6966 	388	0
6970 	358	0
6974 	395	0
6978 	331	0
6982 	345	0
6986 	387	0
6990 	388	0
6994 	399	0
6998 	376	0
7002 	392	0
7006 	418	0
7010 	438	0
7014 	401	0
7018 	421	0
7022 	417	0
7026 	416	0
7030 	395	0
7034 	424	0
7038 	406	0
7042 	413	0
7046 	409	0
7050 	420	0
7054 	402	0
7058 	373	0
7062 	411	0
7066 	441	0
7070 	434	0
7074 	447	0
7078 	413	0
7082 	414	0
7086 	434	0
7090 	412	0
7094 	430	0
7098 	390	0
7102 	370	0
7106 	372	0
7110 	403	0
7114 	422	0
7118 	396	0
7122 	383	0
7126 	442	0
7130 	427	0
7134 	380	0
7138 	379	0
7142 	424	0
7146 	388	0
7150 	369	0
7154 	413	0
7158 	427	0
7162 	396	0
7166 	417	0
7170 	384	0
7174 	395	0
7178 	337	0
7182 	383	0
7186 	376	0
7190 	377	0
7194 	391	0
7198 	383	0
7202 	386	0
7206 	414	0
7210 	374	0
7214 	433	0
7218 	450	0
7222 	403	0
7226 	408	0
7230 	385	0
7234 	412	0
7238 	429	0
7242 	443	0
7246 	443	0
7250 	449	0
7254 	475	0
7258 	451	0
7262 	424	0
7266 	441	0
7270 	489	0
7274 	480	0
7278 	486	0
7282 	488	0
7286 	529	0
7290 	494	0
7294 	466	0
7298 	499	0
7302 	521	0
7306 	519	0
7310 	487	0
7314 	540	0
7318 	454	0
7322 	561	0
7326 	492	0
7330 	488	0
7334 	516	0
7338 	529	0
7342 	511	0
7346 	502	0
7350 	506	0
7354 	491	0
7358 	518	0
7362 	492	0
7366 	500	0
7370 	504	0
7374 	533	0
7378 	506	0
7382 	500	0
7386 	490	0
7390 	508	0
7394 	513	0
7398 	489	0
7402 	471	0
7406 	512	0
7410 	518	0
7414 	449	0
7418 	489	0
7422 	495	0
7426 	515	0
7430 	497	0
7434 	474	0
7438 	491	0
7442 	509	0
7446 	498	0
7450 	425	0
7454 	516	0
7458 	500	0
7462 	461	0
7466 	506	0
7470 	469	0
7474 	475	0
7478 	440	0
7482 	503	0
7486 	493	0
7490 	531	0
7494 	504	0
7498 	531	0
7502 	461	0
7506 	470	0
7510 	512	0
7514 	471	0
7518 	506	0
7522 	529	0
7526 	546	0
7530 	528	0
7534 	480	0
7538 	523	0
7542 	562	0
7546 	544	0
7550 	514	0
7554 	514	0
7558 	601	0
7562 	565	0
7566 	580	0
7570 	586	0
7574 	565	0
7578 	578	0
7582 	596	0
7586 	566	0
7590 	624	0
7594 	627	0
7598 	578	0
7602 	561	0
7606 	559	0
7610 	639	0
7614 	570	0
7618 	595	0
7622 	576	0
7626 	616	0
7630 	640	0
7634 	630	0
7638 	610	0
7642 	595	0
7646 	612	0
7650 	622	0
7654 	640	0
7658 	615	0
7662 	603	0
7666 	598	0
7670 	596	0
7674 	628	0
7678 	600	0
7682 	581	0
7686 	612	0
7690 	567	0
7694 	600	0
7698 	551	0
7702 	569	0
7706 	580	0
7710 	574	0
7714 	639	0
7718 	597	0
7722 	622	0
7726 	559	0
7730 	605	0
7734 	612	0
7738 	555	0
7742 	588	0
7746 	595	0
7750 	556	0
7754 	591	0
7758 	606	0
7762 	605	0
7766 	580	0
7770 	599	0
7774 	552	0
7778 	581	0
7782 	594	0
7786 	602	0
7790 	595	0
7794 	623	0
7798 	636	0
7802 	587	0
7806 	649	0
7810 	605	0
7814 	634	0
7818 	637	0
7822 	571	0
7826 	670	0
7830 	628	0
7834 	663	0
7838 	592	0
7842 	642	0
7846 	663	0
7850 	645	0
7854 	589	0
7858 	676	0
7862 	683	0
7866 	639	0
7870 	708	0
7874 	691	0
7878 	701	0
7882 	642	0
7886 	712	0
7890 	685	0
7894 	688	0
7898 	692	0
7902 	704	0
7906 	704	0
7910 	719	0
7914 	730	0
7918 	718	0
7922 	687	0
7926 	690	0
7930 	699	0
7934 	750	0
7938 	713	0
7942 	704	0
7946 	726	0
7950 	719	0
7954 	716	0
7958 	698	0
7962 	707	0
7966 	715	0
7970 	717	0
7974 	675	0
7978 	707	0
7982 	696	0
7986 	688	0
7990 	702	0
7994 	690	0
7998 	683	0
8002 	712	0
8006 	737	0
8010 	660	0
8014 	686	0
8018 	681	0
8022 	675	0
8026 	670	0
8030 	701	0
8034 	711	0
8038 	656	0
8042 	672	0
8046 	681	0
8050 	685	0
8054 	655	0
8058 	676	0
8062 	683	0
8066 	682	0
8070 	685	0
8074 	662	0
8078 	724	0
8082 	719	0
8086 	676	0
8090 	695	0
8094 	729	0
8098 	691	0
8102 	713	0
8106 	722	0
8110 	660	0
8114 	700	0
8118 	759	0
8122 	737	0
8126 	703	0
8130 	782	0
8134 	743	0
8138 	768	0
8142 	752	0
8146 	744	0
8150 	748	0
8154 	738	0
8158 	736	0
8162 	789	0
8166 	712	0
8170 	797	0
8174 	756	0
8178 	755	0
8182 	749	0
8186 	725	0
8190 	740	0
8194 	821	0
8198 	749	0
8202 	805	0
8206 	797	0
8210 	825	0
8214 	767	0
8218 	776	0
8222 	785	0
8226 	784	0
8230 	800	0
8234 	753	0
8238 	731	0
8242 	750	0
8246 	778	0
8250 	791	0
8254 	791	0
8258 	741	0
8262 	784	0
8266 	829	0
8270 	797	0
8274 	747	0
8278 	744	0
8282 	811	0
8286 	817	0
8290 	784	0
8294 	737	0
8298 	770	0
8302 	761	0
8306 	753	0
8310 	738	0
8314 	745	0
8318 	756	0
8322 	797	0
8326 	767	0
8330 	739	0
8334 	795	0
8338 	824	0
8342 	768	0
8346 	753	0
8350 	794	0
8354 	718	0
8358 	764	0
8362 	786	0
8366 	721	0
8370 	749	0
8374 	812	0
8378 	721	0
8382 	812	0
8386 	781	0
8390 	767	0
8394 	758	0
8398 	754	0
8402 	883	0
8406 	741	0
8410 	819	0
8414 	803	0
8418 	805	0
8422 	762	0
8426 	794	0
8430 	785	0
8434 	834	0
8438 	814	0
8442 	831	0
8446 	809	0
8450 	766	0
8454 	819	0
8458 	803	0
8462 	817	0
8466 	854	0
8470 	836	0
8474 	833	0
8478 	857	0
8482 	818	0
8486 	829	0
8490 	867	0
8494 	848	0
8498 	863	0
8502 	891	0
8506 	838	0
8510 	869	0
8514 	853	0
8518 	858	0
8522 	813	0
8526 	846	0
8530 	823	0
8534 	831	0
8538 	870	0
8542 	873	0
8546 	755	0
8550 	888	0
8554 	810	0
8558 	820	0
8562 	909	0
8566 	850	0
8570 	814	0
8574 	838	0
8578 	785	0
8582 	869	0
8586 	827	0
8590 	761	0
8594 	813	0
8598 	833	0
8602 	811	0
8606 	791	0
8610 	827	0
8614 	796	0
8618 	825	0
8622 	793	0
8626 	815	0
8630 	848	0
8634 	856	0
8638 	834	0
8642 	789	0
8646 	782	0
8650 	834	0
8654 	805	0
8658 	823	0
8662 	887	0
8666 	838	0
8670 	849	0
8674 	856	0
8678 	847	0
8682 	802	0
8686 	817	0
8690 	783	0
8694 	813	0
8698 	824	0
8702 	846	0
8706 	837	0
8710 	900	0
8714 	896	0
8718 	906	0
8722 	882	0
8726 	848	0
8730 	871	0
8734 	811	0
8738 	858	0
8742 	839	0
8746 	850	0
8750 	900	0
8754 	879	0
8758 	813	0
8762 	894	0
8766 	866	0
8770 	831	0
8774 	868	0
8778 	838	0
8782 	866	0
8786 	851	0
8790 	914	0
8794 	869	0
8798 	888	0
8802 	910	0
8806 	907	0
8810 	880	0
8814 	857	0
8818 	846	0
8822 	891	0
8826 	918	0
8830 	852	0
8834 	868	0
8838 	843	0
8842 	856	0
8846 	886	0
8850 	848	0
8854 	854	0
8858 	844	0
8862 	908	0
8866 	881	0
8870 	806	0
8874 	796	0
8878 	876	0
8882 	797	0
8886 	842	0
8890 	860	0
8894 	813	0
8898 	848	0
8902 	854	0
8906 	906	0
8910 	830	0
8914 	843	0
8918 	829	0
8922 	887	0
8926 	840	0
8930 	884	0
8934 	865	0
8938 	864	0
8942 	809	0
8946 	867	0
8950 	827	0
8954 	829	0
8958 	894	0
8962 	858	0
8966 	800	0
8970 	836	0
8974 	880	0
8978 	848	0
8982 	916	0
8986 	911	0
8990 	810	0
8994 	862	0
8998 	895	0
9002 	800	0
9006 	894	0
9010 	864	0
9014 	849	0
9018 	865	0
9022 	854	0
9026 	901	0
9030 	872	0
9034 	854	0
9038 	889	0
9042 	895	0
9046 	874	0
9050 	875	0
9054 	878	0
9058 	886	0
9062 	825	0
9066 	914	0
9070 	868	0
9074 	865	0
9078 	859	0
9082 	867	0
9086 	823	0
9090 	885	0
9094 	887	0
9098 	850	0
9102 	884	0
9106 	925	0
9110 	817	0
9114 	878	0
9118 	832	0
9122 	885	0
9126 	886	0
9130 	841	0
9134 	816	0
9138 	865	0
9142 	795	0
9146 	838	0
9150 	864	0
9154 	864	0
9158 	853	0
9162 	899	0
9166 	814	0
9170 	865	0
9174 	887	0
9178 	842	0
9182 	873	0
9186 	818	0
9190 	818	0
9194 	861	0
9198 	817	0
9202 	871	0
9206 	912	0
9210 	832	0
9214 	787	0
9218 	849	0
9222 	840	0
9226 	820	0
9230 	900	0
9234 	822	0
9238 	873	0
9242 	834	0
9246 	849	0
9250 	840	0
9254 	827	0
9258 	888	0
9262 	796	0
9266 	856	0
9270 	835	0
9274 	815	0
9278 	761	0
9282 	882	0
9286 	803	0
9290 	852	0
9294 	804	0
9298 	868	0
9302 	866	0
9306 	825	0
9310 	894	0
9314 	855	0
9318 	856	0
9322 	811	0
9326 	881	0
9330 	898	0
9334 	886	0
9338 	878	0
9342 	781	0
9346 	875	0
9350 	883	0
9354 	871	0
9358 	789	0
9362 	805	0
9366 	815	0
9370 	806	0
9374 	883	0
9378 	883	0
9382 	828	0
9386 	865	0
9390 	877	0
9394 	841	0
9398 	828	0
9402 	872	0
9406 	826	0
9410 	841	0
9414 	871	0
9418 	817	0
9422 	796	0
9426 	813	0
9430 	824	0
9434 	812	0
9438 	830	0
9442 	807	0
9446 	828	0
9450 	821	0
9454 	844	0
9458 	840	0
9462 	812	0
9466 	824	0
9470 	794	0
9474 	866	0
9478 	849	0
9482 	821	0
9486 	799	0
9490 	838	0
9494 	784	0
9498 	812	0
9502 	862	0
9506 	826	0
9510 	775	0
9514 	793	0
9518 	777	0
9522 	822	0
9526 	829	0
9530 	854	0
9534 	818	0
9538 	852	0
9542 	781	0
9546 	828	0
9550 	827	0
9554 	801	0
9558 	795	0
9562 	862	0
9566 	790	0
9570 	812	0
9574 	766	0
9578 	812	0
9582 	815	0
9586 	866	0
9590 	809	0
9594 	813	0
9598 	795	0
9602 	790	0
9606 	781	0
9610 	823	0
9614 	792	0
9618 	802	0
9622 	799	0
9626 	766	0
9630 	791	0
9634 	770	0
9638 	803	0
9642 	765	0
9646 	807	0
9650 	764	0
9654 	776	0
9658 	761	0
9662 	860	0
9666 	789	0
9670 	813	0
9674 	778	0
9678 	769	0
9682 	764	0
9686 	816	0
9690 	766	0
9694 	767	0
9698 	813	0
9702 	806	0
9706 	730	0
9710 	750	0
9714 	803	0
9718 	730	0
9722 	783	0
9726 	789	0
9730 	811	0
9734 	751	0
9738 	814	0
9742 	753	0
9746 	760	0
9750 	793	0
9754 	737	0
9758 	796	0
9762 	768	0
9766 	749	0
9770 	721	0
9774 	781	0
9778 	745	0
9782 	726	0
9786 	738	0
9790 	770	0
9794 	710	0
9798 	728	0
9802 	777	0
9806 	769	0
9810 	762	0
9814 	799	0
9818 	723	0
9822 	763	0
9826 	734	0
9830 	780	0
9834 	763	0
9838 	780	0
9842 	739	0
9846 	740	0
9850 	734	0
9854 	698	0
9858 	734	0
9862 	711	0
9866 	732	0
9870 	785	0
9874 	715	0
9878 	748	0
9882 	774	0
9886 	727	0
9890 	771	0
9894 	738	0
9898 	745	0
9902 	706	0
9906 	737	0
9910 	737	0
9914 	747	0
9918 	758	0
9922 	693	0
9926 	753	0
9930 	784	0
9934 	703	0
9938 	717	0
9942 	698	0
9946 	697	0
9950 	707	0
9954 	736	0
9958 	746	0
9962 	734	0
9966 	698	0
9970 	686	0
9974 	708	0
9978 	722	0
9982 	714	0
9986 	697	0
9990 	698	0
9994 	690	0
9998 	721	0
10002 	697	0
10006 	696	0
10010 	665	0
10014 	671	0
10018 	657	0
10022 	750	0
10026 	728	0
10030 	695	0
10034 	687	0
10038 	660	0
10042 	674	0
10046 	656	0
10050 	746	0
10054 	692	0
10058 	714	0
10062 	656	0
10066 	663	0
10070 	688	0
10074 	682	0
10078 	641	0
10082 	693	0
10086 	685	0
10090 	635	0
10094 	694	0
10098 	624	0
10102 	684	0
10106 	643	0
10110 	654	0
10114 	696	0
10118 	675	0
10122 	648	0
10126 	727	0
10130 	653	0
10134 	678	0
10138 	642	0
10142 	665	0
10146 	679	0
10150 	670	0
10154 	685	0
10158 	626	0
10162 	609	0
10166 	660	0
10170 	647	0
10174 	633	0
10178 	649	0
10182 	634	0
10186 	655	0
10190 	634	0
10194 	646	0
10198 	633	0
10202 	641	0
10206 	616	0
10210 	609	0
10214 	585	0
10218 	670	0
10222 	675	0
10226 	649	0
10230 	627	0
10234 	635	0
10238 	644	0
10242 	669	0
10246 	657	0
10250 	575	0
10254 	616	0
10258 	649	0
10262 	619	0
10266 	573	0
10270 	621	0
10274 	617	0
10278 	622	0
10282 	618	0
10286 	591	0
10290 	626	0
10294 	610	0
10298 	604	0
10302 	615	0
10306 	569	0
10310 	629	0
10314 	635	0
10318 	634	0
10322 	634	0
10326 	613	0
10330 	586	0
10334 	578	0
10338 	601	0
10342 	613	0
10346 	623	0
10350 	609	0
10354 	608	0
10358 	655	0
10362 	589	0
10366 	597	0
10370 	587	0
10374 	570	0
10378 	581	0
10382 	616	0
10386 	634	0
10390 	533	0
10394 	604	0
10398 	570	0
10402 	628	0
10406 	590	0
10410 	612	0
10414 	645	0
10418 	607	0
10422 	517	0
10426 	580	0
10430 	560	0
10434 	515	0
10438 	535	0
10442 	593	0
10446 	547	0
10450 	534	0
10454 	570	0
10458 	556	0
10462 	523	0
10466 	560	0
10470 	529	0
10474 	526	0
10478 	541	0
10482 	535	0
10486 	550	0
10490 	541	0
10494 	589	0
10498 	514	0
10502 	517	0
10506 	548	0
10510 	519	0
10514 	546	0
10518 	557	0
10522 	547	0
10526 	574	0
10530 	553	0
10534 	518	0
10538 	537	0
10542 	552	0
10546 	537	0
10550 	544	0
10554 	547	0
10558 	497	0
10562 	516	0
10566 	531	0
10570 	556	0
10574 	512	0
10578 	480	0
10582 	518	0
10586 	505	0
10590 	506	0
10594 	491	0
10598 	511	0
10602 	531	0
10606 	526	0
10610 	477	0
10614 	503	0
10618 	496	0
10622 	495	0
10626 	490	0
10630 	496	0
10634 	491	0
10638 	510	0
10642 	516	0
10646 	529	0
10650 	498	0
10654 	481	0
10658 	440	0
10662 	532	0
10666 	466	0
10670 	533	0
10674 	514	0
10678 	484	0
10682 	519	0
10686 	487	0
10690 	499	0
10694 	494	0
10698 	484	0
10702 	505	0
10706 	497	0
10710 	464	0
10714 	465	0
10718 	469	0
10722 	462	0
10726 	449	0
10730 	431	0
10734 	514	0
10738 	465	0
10742 	508	0
10746 	483	0
10750 	441	0
10754 	407	0
10758 	439	0
10762 	485	0
10766 	466	0
10770 	479	0
10774 	440	0
10778 	448	0
10782 	475	0
10786 	444	0
10790 	465	0
10794 	465	0
10798 	453	0
10802 	461	0
10806 	443	0
10810 	441	0
10814 	483	0
10818 	451	0
10822 	444	0
10826 	493	0
10830 	436	0
10834 	424	0
10838 	434	0
10842 	438	0
10846 	426	0
10850 	407	0
10854 	407	0
10858 	411	0
10862 	414	0
10866 	439	0
10870 	428	0
10874 	410	0
10878 	411	0
10882 	450	0
10886 	397	0
10890 	426	0
10894 	426	0
10898 	421	0
10902 	418	0
10906 	417	0
10910 	430	0
10914 	417	0
10918 	432	0
10922 	457	0
10926 	450	0
10930 	381	0
10934 	428	0
10938 	416	0
10942 	396	0
10946 	383	0
10950 	403	0
10954 	390	0
10958 	409	0
10962 	423	0
10966 	396	0
10970 	427	0
10974 	403	0
10978 	370	0
10982 	362	0
10986 	393	0
10990 	398	0
10994 	372	0
10998 	388	0
11002 	373	0
11006 	401	0
11010 	379	0
11014 	397	0
11018 	388	0
11022 	393	0
11026 	371	0
11030 	385	0
11034 	386	0
11038 	377	0
11042 	334	0
11046 	338	0
11050 	363	0
11054 	369	0
11058 	347	0
11062 	381	0
11066 	364	0
11070 	332	0
11074 	365	0
11078 	379	0
11082 	373	0
11086 	357	0
11090 	358	0
11094 	361	0
11098 	356	0
11102 	380	0
11106 	353	0
11110 	347	0
11114 	362	0
11118 	337	0
11122 	332	0
11126 	361	0
11130 	328	0
11134 	353	0
11138 	355	0
11142 	324	0
11146 	335	0
11150 	356	0
11154 	321	0
11158 	344	0
11162 	347	0
11166 	330	0
11170 	305	0
11174 	308	0
11178 	311	0
11182 	323	0
11186 	319	0
11190 	335	0
11194 	327	0
11198 	327	0
11202 	288	0
11206 	316	0
11210 	339	0
11214 	307	0
11218 	333	0
11222 	335	0
11226 	351	0
11230 	307	0
11234 	302	0
11238 	294	0
11242 	320	0
11246 	321	0
11250 	308	0
11254 	330	0
11258 	304	0
11262 	297	0
11266 	297	0
11270 	297	0
11274 	266	0
11278 	313	0
11282 	311	0
11286 	291	0
11290 	264	0
11294 	295	0
11298 	295	0
11302 	309	0
11306 	288	0
11310 	313	0
11314 	322	0
11318 	294	0
11322 	297	0
11326 	286	0
11330 	310	0
11334 	268	0
11338 	276	0
11342 	283	0
11346 	302	0
11350 	276	0
11354 	264	0
11358 	275	0
11362 	259	0
11366 	265	0
11370 	299	0
11374 	268	0
11378 	281	0
11382 	272	0
11386 	283	0
11390 	282	0
11394 	300	0
11398 	260	0
11402 	283	0
11406 	285	0
11410 	264	0
11414 	234	0
11418 	247	0
11422 	292	0
11426 	252	0
11430 	277	0
11434 	266	0
11438 	253	0
11442 	280	0
11446 	255	0
11450 	245	0
11454 	259	0
11458 	245	0
11462 	233	0
11466 	278	0
11470 	254	0
11474 	240	0
11478 	246	0
11482 	245	0
11486 	236	0
11490 	225	0
11494 	264	0
11498 	215	0
11502 	218	0
11506 	238	0
11510 	248	0
11514 	254	0
11518 	261	0
11522 	231	0
11526 	246	0
11530 	264	0
11534 	217	0
11538 	213	0
11542 	234	0
11546 	219	0
11550 	243	0
11554 	233	0
11558 	224	0
11562 	252	0
11566 	219	0
11570 	229	0
11574 	223	0
11578 	211	0
11582 	246	0
11586 	234	0
11590 	234	0
11594 	219	0
11598 	221	0
11602 	233	0
11606 	242	0
11610 	224	0
11614 	219	0
11618 	235	0
11622 	223	0
11626 	224	0
11630 	203	0
11634 	211	0
11638 	223	0
11642 	205	0
11646 	216	0
11650 	212	0
11654 	195	0
11658 	224	0
11662 	198	0
11666 	190	0
11670 	209	0
11674 	193	0
11678 	209	0
11682 	195	0
11686 	191	0
11690 	207	0
11694 	202	0
11698 	188	0
11702 	210	0
11706 	189	0
11710 	189	0
11714 	202	0
11718 	180	0
11722 	203	0
11726 	180	0
11730 	238	0
11734 	183	0
11738 	205	0
11742 	179	0
11746 	188	0
11750 	197	0
11754 	184	0
11758 	199	0
11762 	196	0
11766 	196	0
11770 	194	0
11774 	153	0
11778 	184	0
11782 	188	0
11786 	179	0
11790 	181	0
11794 	167	0
11798 	151	0
11802 	182	0
11806 	180	0
11810 	158	0
11814 	158	0
11818 	151	0
11822 	154	0
11826 	162	0
11830 	181	0
11834 	176	0
11838 	144	0
11842 	162	0
11846 	169	0
11850 	176	0
11854 	187	0
11858 	168	0
11862 	148	0
11866 	181	0
11870 	206	0
11874 	186	0
11878 	137	0
11882 	170	0
11886 	181	0
11890 	180	0
11894 	174	0
11898 	185	0
11902 	159	0
11906 	176	0
11910 	180	0
11914 	190	0
11918 	171	0
11922 	157	0
11926 	151	0
11930 	168	0
11934 	153	0
11938 	148	0
11942 	166	0
11946 	149	0
11950 	156	0
11954 	153	0
11958 	150	0
11962 	158	0
11966 	138	0
11970 	147	0
11974 	147	0
11978 	159	0
11982 	145	0
11986 	147	0
11990 	147	0
11994 	154	0
11998 	137	0
12002 	148	0
12006 	139	0
12010 	125	0
12014 	144	0
12018 	139	0
12022 	140	0
12026 	138	0
12030 	125	0
12034 	129	0
12038 	146	0
12042 	138	0
12046 	145	0
12050 	120	0
12054 	135	0
12058 	110	0
12062 	111	0
12066 	126	0
12070 	111	0
12074 	121	0
12078 	136	0
12082 	142	0
12086 	110	0
12090 	110	0
12094 	136	0
12098 	143	0
12102 	125	0
12106 	121	0
12110 	138	0
12114 	122	0
12118 	122	0
12122 	115	0
12126 	124	0
12130 	109	0
12134 	123	0
12138 	138	0
12142 	130	0
12146 	97	0
12150 	117	0
12154 	128	0
12158 	122	0
12162 	114	0
12166 	124	0
12170 	123	0
12174 	136	0
12178 	120	0
12182 	114	0
12186 	129	0
12190 	106	0
12194 	103	0
12198 	101	0
12202 	108	0
12206 	104	0
12210 	112	0
12214 	112	0
12218 	104	0
12222 	100	0
12226 	107	0
12230 	106	0
12234 	102	0
12238 	110	0
12242 	114	0
12246 	110	0
12250 	101	0
12254 	105	0
12258 	111	0
12262 	113	0
12266 	119	0
12270 	98	0
12274 	102	0
12278 	118	0
12282 	72	0
12286 	98	0
12290 	106	0
12294 	90	0
12298 	105	0
12302 	93	0
12306 	107	0
12310 	101	0
12314 	98	0
12318 	107	0
12322 	87	0
12326 	93	0
12330 	113	0
12334 	91	0
12338 	87	0
12342 	105	0
12346 	98	0
12350 	81	0
12354 	97	0
12358 	95	0
12362 	84	0
12366 	97	0
12370 	71	0
12374 	89	0
12378 	88	0
12382 	89	0
12386 	94	0
12390 	71	0
12394 	111	0
12398 	87	0
12402 	79	0
12406 	85	0
12410 	97	0
12414 	76	0
12418 	86	0
12422 	74	0
12426 	76	0
12430 	103	0
12434 	74	0
12438 	81	0
12442 	83	0
12446 	71	0
12450 	82	0
12454 	88	0
12458 	93	0
12462 	92	0
12466 	75	0
12470 	91	0
12474 	79	0
12478 	93	0
12482 	87	0
12486 	90	0
12490 	76	0
12494 	81	0
12498 	85	0
12502 	84	0
12506 	82	0
12510 	83	0
12514 	56	0
12518 	73	0
12522 	55	0
12526 	80	0
12530 	72	0
12534 	76	0
12538 	65	0
12542 	78	0
12546 	71	0
12550 	72	0
12554 	71	0
12558 	74	0
12562 	75	0
12566 	61	0
12570 	82	0
12574 	79	0
12578 	62	0
12582 	60	0
12586 	69	0
12590 	78	0
12594 	59	0
12598 	73	0
12602 	78	0
12606 	63	0
12610 	63	0
12614 	56	0
12618 	61	0
12622 	65	0
12626 	57	0
12630 	61	0
12634 	68	0
12638 	74	0
12642 	61	0
12646 	52	0
12650 	60	0
12654 	63	0
12658 	64	0
12662 	82	0
12666 	72	0
12670 	59	0
12674 	64	0
12678 	58	0
12682 	70	0
12686 	51	0
12690 	53	0
12694 	68	0
12698 	51	0
12702 	54	0
12706 	62	0
12710 	56	0
12714 	59	0
12718 	73	0
12722 	64	0
12726 	61	0
12730 	48	0
12734 	59	0
12738 	48	0
12742 	57	0
12746 	62	0
12750 	46	0
12754 	58	0
12758 	56	0
12762 	59	0
12766 	59	0
12770 	56	0
12774 	46	0
12778 	55	0
12782 	58	0
12786 	64	0
12790 	66	0
12794 	49	0
12798 	50	0
12802 	56	0
12806 	59	0
12810 	48	0
12814 	45	0
12818 	44	0
12822 	52	0
12826 	40	0
12830 	49	0
12834 	47	0
12838 	51	0
12842 	51	0
12846 	44	0
12850 	51	0
12854 	36	0
12858 	36	0
12862 	46	0
12866 	49	0
12870 	40	0
12874 	46	0
12878 	46	0
12882 	53	0
12886 	45	0
12890 	44	0
12894 	47	0
12898 	44	0
12902 	48	0
12906 	32	0
12910 	44	0
12914 	45	0
12918 	34	0
12922 	36	0
12926 	43	0
12930 	50	0
12934 	36	0
12938 	47	0
12942 	34	0
12946 	42	0
12950 	40	0
12954 	43	0
12958 	41	0
12962 	44	0
12966 	36	0
12970 	41	0
12974 	35	0
12978 	29	0
12982 	40	0
12986 	36	0
12990 	27	0
12994 	38	0
12998 	33	0
13002 	40	0
13006 	45	0
13010 	33	0
13014 	40	0
13018 	29	0
13022 	34	0
13026 	37	0
13030 	27	0
13034 	37	0
13038 	18	0
13042 	37	0
13046 	34	0
13050 	38	0
13054 	40	0
13058 	44	0
13062 	26	0
13066 	33	0
13070 	28	0
13074 	36	0
13078 	37	0
13082 	46	0
13086 	39	0
13090 	30	0
13094 	29	0
13098 	43	0
13102 	21	0
13106 	34	0
13110 	31	0
13114 	36	0
13118 	23	0
13122 	20	0
13126 	33	0
13130 	36	0
13134 	31	0
13138 	29	0
13142 	26	0
13146 	37	0
13150 	39	0
13154 	40	0
13158 	34	0
13162 	28	0
13166 	38	0
13170 	22	0
13174 	27	0
13178 	27	0
13182 	23	0
13186 	33	0
13190 	42	0
13194 	44	0
13198 	25	0
13202 	37	0
13206 	34	0
13210 	23	0
13214 	26	0
13218 	27	0
13222 	41	0
13226 	30	0
13230 	23	0
13234 	29	0
13238 	29	0
13242 	24	0
13246 	25	0
13250 	27	0
13254 	25	0
13258 	34	0
13262 	38	0
13266 	19	0
13270 	29	0
13274 	28	0
13278 	27	0
13282 	27	0
13286 	31	0
13290 	22	0
13294 	26	0
13298 	26	0
13302 	24	0
13306 	23	0
13310 	22	0
13314 	19	0
13318 	23	0
13322 	22	0
13326 	23	0
13330 	19	0
13334 	27	0
13338 	25	0
13342 	24	0
13346 	28	0
13350 	18	0
13354 	29	0
13358 	21	0
13362 	23	0
13366 	15	0
13370 	18	0
13374 	18	0
13378 	25	0
13382 	23	0
13386 	22	0
13390 	32	0
13394 	26	0
13398 	10	0
13402 	22	0
13406 	22	0
13410 	16	0
13414 	20	0
13418 	20	0
13422 	22	0
13426 	23	0
13430 	14	0
13434 	14	0
13438 	12	0
13442 	19	0
13446 	22	0
13450 	20	0
13454 	14	0
13458 	24	0
13462 	27	0
13466 	11	0
13470 	16	0
13474 	19	0
13478 	19	0
13482 	17	0
13486 	15	0
13490 	19	0
13494 	21	0
13498 	16	0
13502 	11	0
13506 	16	0
13510 	21	0
13514 	18	0
13518 	17	0
13522 	21	0
13526 	15	0
13530 	11	0
13534 	17	0
13538 	11	0
13542 	14	0
13546 	17	0
13550 	17	0
13554 	14	0
13558 	10	0
13562 	18	0
13566 	19	0
13570 	12	0
13574 	15	0
13578 	10	0
13582 	14	0
13586 	13	0
13590 	13	0
13594 	18	0
13598 	10	0
13602 	18	0
13606 	13	0
13610 	12	0
13614 	10	0
13618 	14	0
13622 	8	0
13626 	17	0
13630 	11	0
13634 	18	0
13638 	18	0
13642 	13	0
13646 	9	0
13650 	18	0
13654 	13	0
13658 	14	0
13662 	9	0
13666 	13	0
13670 	19	0
13674 	15	0
13678 	14	0
13682 	16	0
13686 	12	0
13690 	4	0
13694 	11	0
13698 	8	0
13702 	9	0
13706 	16	0
13710 	9	0
13714 	12	0
13718 	10	0
13722 	17	0
13726 	11	0
13730 	13	0
13734 	18	0
13738 	13	0
13742 	12	0
13746 	14	0
