Channel	On	Off
1370 	177	267
1374 	165	255
1378 	157	240
1382 	188	239
1386 	141	232
1390 	133	223
1394 	121	202
1398 	108	187
1402 	124	176
1406 	123	161
1410 	113	188
1414 	74	146
1418 	113	153
1422 	108	128
1426 	84	156
1430 	112	141
1434 	80	141
1438 	78	109
1442 	72	99
1446 	84	114
1450 	68	116
1454 	68	112
1458 	80	103
1462 	58	83
1466 	76	72
1470 	73	85
1474 	51	98
1478 	46	94
1482 	49	85
1486 	50	76
1490 	43	71
1494 	63	85
1498 	47	75
1502 	33	68
1506 	50	66
1510 	39	66
1514 	47	68
1518 	44	56
1522 	42	61
1526 	43	58
1530 	36	61
1534 	59	58
1538 	36	52
1542 	33	45
1546 	34	64
1550 	28	48
1554 	40	47
1558 	29	50
1562 	37	41
1566 	40	53
1570 	31	53
1574 	39	57
1578 	39	43
1582 	26	46
1586 	23	32
1590 	31	40
1594 	36	43
1598 	26	50
1602 	27	45
1606 	25	43
1610 	24	29
1614 	20	38
1618 	27	25
1622 	16	35
1626 	23	40
1630 	25	36
1634 	24	35
1638 	24	31
1642 	23	34
1646 	22	29
1650 	25	27
1654 	22	38
1658 	25	25
1662 	21	27
1666 	13	27
1670 	15	35
1674 	20	24
1678 	15	17
1682 	15	21
1686 	10	31
1690 	15	21
1694 	14	23
1698 	15	23
1702 	13	18
1706 	6	18
1710 	20	16
1714 	7	10
1718 	7	14
1722 	15	13
1726 	9	12
1730 	10	15
1734 	10	7
1738 	8	16
1742 	7	13
1746 	13	13
1750 	13	9
1754 	9	11
1758 	10	11
1762 	5	10
1766 	6	11
1770 	7	5
1774 	2	10
1778 	4	7
1782 	5	10
1786 	10	16
1790 	6	7
1794 	2	7
1798 	6	6
1802 	3	10
1806 	8	7
1810 	5	7
1814 	7	10
1818 	3	5
1822 	7	3
1826 	2	6
1830 	3	9
1834 	8	9
1838 	3	3
1842 	4	8
1846 	3	9
1850 	11	4
1854 	4	5
1858 	2	5
1862 	3	7
1866 	2	6
1870 	3	4
1874 	7	1
1878 	4	4
1882 	2	7
1886 	3	4
1890 	4	3
1894 	2	0
1898 	3	2
1902 	6	5
1906 	4	5
1910 	3	4
1914 	0	3
1918 	1	3
1922 	1	2
1926 	4	1
1930 	3	3
1934 	0	3
1938 	2	1
1942 	3	1
1946 	2	1
1950 	4	4
1954 	2	3
1958 	1	1
1962 	1	1
1966 	4	4
1970 	2	2
1974 	2	7
1978 	2	3
1982 	3	1
1986 	2	3
1990 	1	2
1994 	3	3
1998 	1	3
2002 	0	3
2006 	2	2
2010 	2	5
2014 	2	2
2018 	2	3
2022 	1	0
2026 	1	2
2030 	2	2
2034 	1	0
2038 	1	1
2042 	0	1
2046 	0	0
2050 	1	1
2054 	1	0
2058 	1	0
2062 	2	3
2066 	1	0
2070 	0	1
2074 	2	0
2078 	0	3
2082 	0	0
2086 	0	2
2090 	3	1
2094 	0	3
2098 	1	0
2102 	1	1
2106 	1	0
2110 	0	1
2114 	0	0
2118 	0	1
2122 	0	0
2126 	1	1
2130 	1	1
2134 	0	1
2138 	0	2
2142 	1	2
2146 	0	0
2150 	0	0
2154 	1	0
2158 	1	0
2162 	0	1
2166 	2	0
2170 	0	0
2174 	1	0
2178 	1	2
2182 	2	0
2186 	0	0
2190 	1	1
2194 	1	0
2198 	1	2
2202 	1	1
2206 	0	0
2210 	1	0
2214 	1	0
2218 	0	1
2222 	0	0
2226 	1	0
2230 	0	0
2234 	0	0
2238 	0	1
2242 	2	0
2246 	0	0
2250 	0	0
2254 	1	0
2258 	1	0
2262 	0	3
2266 	2	1
2270 	0	0
2274 	1	1
2278 	0	1
2282 	1	0
2286 	0	2
2290 	0	1
2294 	0	0
2298 	1	1
2302 	1	0
2306 	0	0
2310 	0	0
2314 	0	1
2318 	0	0
2322 	0	0
2326 	0	0
2330 	0	0
2334 	0	0
2338 	2	0
2342 	1	0
2346 	0	1
2350 	0	0
2354 	1	0
2358 	0	0
2362 	0	0
2366 	1	0
2370 	0	0
2374 	0	0
2378 	0	0
2382 	0	0
2386 	1	0
2390 	0	0
2394 	1	1
2398 	0	0
2402 	0	0
2406 	2	0
2410 	0	0
2414 	0	0
2418 	0	0
2422 	0	0
2426 	0	0
2430 	1	0
2434 	0	0
2438 	0	0
2442 	0	0
2446 	0	0
2450 	0	0
2454 	0	0
2458 	0	0
2462 	0	0
2466 	0	0
2470 	0	0
2474 	0	0
2478 	0	0
2482 	1	0
2486 	1	0
2490 	0	0
2494 	2	0
2498 	0	0
2502 	0	0
2506 	0	0
2510 	0	0
2514 	1	0
2518 	0	0
2522 	0	0
2526 	1	0
2530 	0	0
2534 	0	0
2538 	0	0
2542 	0	0
2546 	0	0
2550 	0	0
2554 	0	1
2558 	0	0
2562 	0	0
2566 	0	0
2570 	0	0
2574 	0	0
2578 	0	0
2582 	0	0
2586 	0	0
2590 	0	0
2594 	0	0
2598 	0	0
2602 	1	0
2606 	0	0
2610 	0	0
2614 	0	1
2618 	0	0
2622 	0	0
2626 	0	0
2630 	0	0
2634 	0	0
2638 	0	0
2642 	0	0
2646 	1	0
2650 	1	0
2654 	1	0
2658 	0	0
2662 	0	0
2666 	0	0
2670 	0	0
2674 	1	0
2678 	0	1
2682 	0	0
2686 	0	0
2690 	1	0
2694 	2	0
2698 	0	0
2702 	0	0
2706 	0	0
2710 	0	0
2714 	0	0
2718 	0	0
2722 	0	0
2726 	0	0
2730 	1	0
2734 	0	0
2738 	0	0
2742 	0	0
2746 	0	0
2750 	0	0
2754 	0	0
2758 	0	0
2762 	0	0
2766 	0	0
2770 	1	0
2774 	0	0
2778 	1	0
2782 	0	0
2786 	0	0
2790 	0	0
2794 	0	0
2798 	0	0
2802 	0	0
2806 	0	0
2810 	1	0
2814 	0	0
2818 	0	0
2822 	0	0
2826 	3	0
2830 	0	0
2834 	0	0
2838 	0	0
2842 	0	0
2846 	0	0
2850 	1	0
2854 	0	0
2858 	1	0
2862 	1	0
2866 	1	0
2870 	0	0
2874 	0	0
2878 	0	0
2882 	2	0
2886 	0	0
2890 	0	0
2894 	1	0
2898 	2	0
2902 	2	0
2906 	0	0
2910 	0	0
2914 	1	0
2918 	1	0
2922 	0	0
2926 	0	0
2930 	0	0
2934 	0	0
2938 	1	0
2942 	0	0
2946 	0	0
2950 	1	0
2954 	1	0
2958 	0	0
2962 	1	0
2966 	1	0
2970 	1	0
2974 	0	0
2978 	0	0
2982 	0	0
2986 	2	0
2990 	0	0
2994 	1	0
2998 	0	0
3002 	5	0
3006 	0	0
3010 	0	0
3014 	0	0
3018 	0	0
3022 	1	0
3026 	0	0
3030 	0	0
3034 	0	0
3038 	0	0
3042 	2	0
3046 	1	0
3050 	1	0
3054 	1	0
3058 	0	0
3062 	0	0
3066 	1	0
3070 	1	0
3074 	0	0
3078 	1	0
3082 	1	0
3086 	1	0
3090 	1	0
3094 	0	0
3098 	0	0
3102 	1	0
3106 	1	0
3110 	0	0
3114 	0	0
3118 	1	0
3122 	1	0
3126 	0	0
3130 	0	0
3134 	0	0
3138 	0	0
3142 	0	0
3146 	0	0
3150 	0	0
3154 	0	0
3158 	2	0
3162 	0	0
3166 	1	0
3170 	1	0
3174 	1	0
3178 	1	0
3182 	0	0
3186 	2	0
3190 	1	0
3194 	0	0
3198 	0	0
3202 	1	0
3206 	0	0
3210 	0	0
3214 	2	0
3218 	1	0
3222 	1	0
3226 	0	0
3230 	0	0
3234 	0	0
3238 	1	0
3242 	1	0
3246 	0	0
3250 	0	0
3254 	1	0
3258 	2	0
3262 	0	0
3266 	3	0
3270 	1	0
3274 	0	0
3278 	2	0
3282 	1	0
3286 	2	0
3290 	0	0
3294 	1	0
3298 	1	0
3302 	0	0
3306 	0	0
3310 	0	0
3314 	0	0
3318 	0	0
3322 	3	0
3326 	1	0
3330 	2	0
3334 	0	0
3338 	0	0
3342 	0	0
3346 	0	0
3350 	1	0
3354 	2	0
3358 	1	0
3362 	0	0
3366 	0	0
3370 	0	0
3374 	0	0
3378 	0	0
3382 	1	0
3386 	0	0
3390 	0	0
3394 	0	0
3398 	3	0
3402 	0	0
3406 	0	0
3410 	0	0
3414 	0	0
3418 	0	0
3422 	1	0
3426 	1	0
3430 	0	0
3434 	0	0
3438 	2	0
3442 	0	0
3446 	0	0
3450 	0	0
3454 	0	0
3458 	1	0
3462 	0	0
3466 	2	0
3470 	0	0
3474 	1	0
3478 	0	0
3482 	1	0
3486 	1	0
3490 	1	0
3494 	1	0
3498 	0	0
3502 	2	0
3506 	2	0
3510 	0	0
3514 	2	0
3518 	0	0
3522 	0	0
3526 	0	0
3530 	1	0
3534 	2	0
3538 	0	0
3542 	1	0
3546 	1	0
3550 	1	0
3554 	2	0
3558 	2	0
3562 	1	0
3566 	2	0
3570 	1	0
3574 	0	0
3578 	3	0
3582 	1	0
3586 	3	0
3590 	1	0
3594 	1	0
3598 	1	0
3602 	1	0
3606 	0	0
3610 	1	0
3614 	2	0
3618 	2	0
3622 	2	0
3626 	1	0
3630 	1	0
3634 	2	0
3638 	0	0
3642 	1	0
3646 	4	0
3650 	2	0
3654 	1	0
3658 	2	0
3662 	2	0
